Subset 1,Subset 2,Subset 3,Subset 4,Subset 5,Subset 6,Subset 7,Subset 8,Subset 9,Subset 10
560,503,467,444,526,371,,,,
565,505,471,445,527,417,,,,
573,506,473,446,529,418,,,,
582,512,474,449,532,431,,,,
583,513,476,454,537,442,,,,
585,521,477,494,538,447,,,,
588,524,480,495,557,484,,,,
589,530,523,496,564,485,,,,
590,535,540,498,636,488,,,,
591,542,596,500,708,489,,,,
593,543,627,501,737,491,,,,
601,558,628,502,747,492,,,,
603,559,629,504,754,507,,,,
604,561,630,514,763,508,,,,
605,563,631,522,765,509,,,,
606,566,632,528,767,510,,,,
607,567,643,536,769,511,,,,
608,568,646,539,787,533,,,,
609,571,649,541,789,534,,,,
610,580,655,569,799,562,,,,
611,581,660,623,800,570,,,,
614,584,662,635,808,572,,,,
633,586,663,645,812,574,,,,
637,587,739,719,815,575,,,,
638,592,743,733,820,576,,,,
639,595,745,736,822,577,,,,
640,597,749,740,825,578,,,,
641,598,750,741,828,579,,,,
642,599,752,742,843,594,,,,
644,602,755,748,844,600,,,,
647,615,784,751,846,612,,,,
648,616,813,753,850,613,,,,
650,617,816,760,853,619,,,,
651,618,824,770,859,621,,,,
652,620,827,776,864,625,,,,
653,622,836,792,867,626,,,,
654,624,866,793,868,766,,,,
656,634,945,801,870,768,,,,
657,693,947,802,873,771,,,,
658,714,948,804,893,772,,,,
659,781,972,806,894,780,,,,
661,782,984,807,896,783,,,,
664,786,1016,809,907,788,,,,
665,794,1019,811,918,790,,,,
666,803,1020,819,919,795,,,,
667,805,1021,821,925,796,,,,
668,823,1023,831,928,797,,,,
669,826,1026,832,934,810,,,,
670,829,1027,834,935,830,,,,
671,839,1044,862,939,833,,,,
672,842,1045,865,943,837,,,,
673,848,1057,869,958,841,,,,
674,849,1058,877,960,845,,,,
675,852,1059,892,961,847,,,,
676,861,1077,898,965,854,,,,
677,872,1086,901,967,855,,,,
678,874,1093,904,969,856,,,,
679,875,1099,911,970,858,,,,
680,879,1105,912,989,860,,,,
681,881,1106,915,1002,863,,,,
682,882,1111,921,1009,871,,,,
683,885,1113,926,1022,876,,,,
684,891,1115,933,1034,878,,,,
685,899,1118,937,1091,880,,,,
686,900,1124,938,1095,883,,,,
687,902,1125,940,1102,884,,,,
688,906,1126,942,1131,886,,,,
689,909,1127,944,1133,887,,,,
690,922,1129,946,1138,888,,,,
691,923,1134,951,1145,889,,,,
692,924,1169,952,1147,895,,,,
694,927,1170,953,1151,897,,,,
695,929,1173,954,1152,908,,,,
696,930,1209,957,1154,920,,,,
697,931,1236,959,1158,932,,,,
698,941,1253,962,1160,956,,,,
699,986,1261,964,1164,987,,,,
700,999,1267,966,1166,998,,,,
701,1005,1270,997,1181,1011,,,,
702,1006,1274,1000,1183,1046,,,,
703,1007,1379,1001,1186,1056,,,,
704,1008,1406,1010,1196,1109,,,,
705,1108,1424,1017,1206,1123,,,,
706,1121,1507,1018,1216,1128,,,,
707,1135,1515,1025,1221,1132,,,,
709,1141,1535,1049,1222,1139,,,,
710,1148,1546,1050,1223,1142,,,,
711,1153,1548,1053,1226,1143,,,,
712,1156,1550,1054,1234,1146,,,,
713,1157,1619,1063,1272,1163,,,,
715,1161,1621,1064,1275,1168,,,,
716,1162,1630,1094,1279,1184,,,,
717,1165,1651,1096,1284,1185,,,,
718,1167,1692,1097,1285,1190,,,,
720,1178,1694,1100,1287,1193,,,,
721,1188,1700,1101,1288,1194,,,,
722,1189,1703,1103,1291,1198,,,,
723,1192,1723,1107,1294,1202,,,,
724,1195,1733,1110,1295,1203,,,,
725,1197,1734,1114,1296,1204,,,,
726,1200,1735,1117,1297,1207,,,,
727,1208,1736,1130,1298,1210,,,,
728,1213,1737,1136,1299,1211,,,,
729,1215,1738,1137,1305,1212,,,,
730,1220,1739,1150,1308,1214,,,,
731,1224,1740,1175,1310,1217,,,,
732,1230,1768,1199,1312,1218,,,,
734,1231,1786,1201,1313,1241,,,,
735,1233,1816,1205,1314,1244,,,,
738,1240,1817,1219,1315,1245,,,,
744,1242,1819,1227,1317,1246,,,,
746,1247,1820,1228,1318,1249,,,,
756,1248,1821,1229,1326,1250,,,,
757,1254,1822,1232,1328,1251,,,,
758,1255,1824,1235,1335,1252,,,,
759,1258,1870,1237,1336,1259,,,,
761,1260,1874,1238,1338,1262,,,,
762,1266,1885,1243,1341,1263,,,,
764,1268,1887,1257,1343,1264,,,,
773,1269,1889,1273,1344,1265,,,,
774,1271,1890,1276,1346,1277,,,,
775,1278,1897,1280,1353,1286,,,,
777,1281,1900,1293,1370,1289,,,,
778,1282,1928,1322,1377,1292,,,,
779,1283,1934,1337,1381,1306,,,,
785,1290,1939,1339,1389,1307,,,,
791,1300,1983,1340,1391,1311,,,,
798,1301,1984,1347,1392,1321,,,,
814,1302,1985,1352,1393,1323,,,,
817,1304,1986,1359,1394,1324,,,,
818,1309,1988,1367,1395,1325,,,,
835,1319,1989,1369,1396,1332,,,,
838,1320,1990,1371,1398,1345,,,,
840,1327,1991,1372,1401,1350,,,,
851,1329,1992,1390,1405,1354,,,,
857,1330,1993,1397,1410,1361,,,,
890,1331,1994,1400,1411,1363,,,,
903,1333,1995,1413,1421,1364,,,,
905,1342,1996,1422,1428,1366,,,,
910,1348,1998,1425,1430,1368,,,,
913,1349,1999,1439,1431,1373,,,,
914,1351,2001,1443,1437,1374,,,,
916,1356,2003,1449,1438,1375,,,,
917,1357,2004,1455,1440,1380,,,,
936,1360,2005,1459,1442,1383,,,,
949,1365,2006,1464,1452,1384,,,,
950,1376,2007,1470,1453,1385,,,,
955,1378,2008,1472,1454,1387,,,,
963,1382,2009,1475,1457,1388,,,,
968,1399,2010,1490,1458,1403,,,,
971,1402,2011,1492,1460,1409,,,,
973,1404,2012,1495,1463,1412,,,,
974,1407,2013,1504,1468,1414,,,,
975,1417,2014,1505,1474,1420,,,,
976,1418,2015,1512,1481,1426,,,,
977,1419,2016,1514,1484,1427,,,,
978,1423,2017,1522,1487,1433,,,,
979,1429,2018,1524,1497,1434,,,,
980,1432,2020,1542,1498,1435,,,,
981,1436,2021,1557,1499,1445,,,,
982,1444,2022,1564,1500,1446,,,,
983,1447,2024,1565,1501,1450,,,,
985,1448,2025,1566,1502,1451,,,,
988,1456,2027,1578,1508,1465,,,,
990,1461,2028,1580,1511,1473,,,,
991,1462,2030,1585,1516,1477,,,,
992,1466,2031,1587,1518,1478,,,,
993,1469,2032,1588,1519,1486,,,,
994,1471,2033,1591,1520,1488,,,,
995,1476,2037,1595,1521,1493,,,,
996,1479,2038,1598,1523,1496,,,,
1003,1480,2041,1599,1525,1506,,,,
1004,1483,2042,1611,1526,1539,,,,
1012,1485,2047,1613,1527,1545,,,,
1013,1489,2093,1614,1537,1571,,,,
1014,1491,2130,1617,1538,1573,,,,
1015,1494,2142,1641,1540,1574,,,,
1024,1503,2211,1647,1543,1597,,,,
1028,1509,2281,1652,1551,1637,,,,
1029,1513,2309,1653,1553,1644,,,,
1030,1517,2327,1659,1554,1645,,,,
1031,1536,2342,1662,1556,1646,,,,
1032,1541,2431,1665,1559,1650,,,,
1033,1544,2436,1668,1562,1656,,,,
1035,1552,2444,1670,1563,1664,,,,
1036,1555,2456,1671,1569,1669,,,,
1037,1558,2484,1673,1570,1675,,,,
1038,1560,2499,1676,1576,1680,,,,
1039,1561,2707,1681,1577,1682,,,,
1040,1572,2908,1683,1582,1684,,,,
1041,1575,2925,1686,1584,1685,,,,
1042,1579,,1687,1589,1693,,,,
1043,1581,,1688,1592,1697,,,,
1047,1586,,1690,1594,1705,,,,
1048,1590,,1698,1600,1706,,,,
1051,1593,,1704,1612,1707,,,,
1052,1596,,1708,1616,1712,,,,
1055,1609,,1716,1633,1713,,,,
1060,1610,,1717,1638,1721,,,,
1061,1639,,1718,1640,1722,,,,
1062,1643,,1728,1642,1724,,,,
1065,1655,,1742,1654,1725,,,,
1066,1658,,1746,1660,1731,,,,
1067,1661,,1748,1663,1732,,,,
1068,1672,,1760,1667,1744,,,,
1069,1674,,1761,1678,1752,,,,
1070,1677,,1765,1689,1753,,,,
1071,1679,,1769,1691,1757,,,,
1072,1695,,1774,1696,1759,,,,
1073,1699,,1779,1702,1763,,,,
1074,1701,,1781,1709,1771,,,,
1075,1710,,1785,1726,1793,,,,
1076,1711,,1788,1741,1797,,,,
1078,1714,,1792,1747,1798,,,,
1079,1715,,1801,1749,1800,,,,
1080,1719,,1806,1751,1804,,,,
1081,1720,,1808,1766,1805,,,,
1082,1727,,1809,1776,1807,,,,
1083,1729,,1810,1778,1813,,,,
1084,1730,,1812,1780,1814,,,,
1085,1743,,1815,1782,1828,,,,
1087,1745,,1823,1787,1834,,,,
1088,1755,,1826,1789,1842,,,,
1089,1758,,1827,1790,1844,,,,
1090,1767,,1830,1791,1845,,,,
1092,1772,,1838,1802,1847,,,,
1098,1773,,1846,1803,1848,,,,
1104,1775,,1849,1833,1850,,,,
1112,1777,,1851,1839,1854,,,,
1116,1783,,1852,1859,1855,,,,
1119,1784,,1856,1860,1857,,,,
1120,1794,,1858,1868,1862,,,,
1122,1795,,1864,1881,1866,,,,
1140,1796,,1865,1883,1867,,,,
1144,1799,,1871,1884,1878,,,,
1149,1811,,1872,1892,1879,,,,
1155,1818,,1873,1895,1901,,,,
1159,1829,,1875,1905,1910,,,,
1171,1831,,1877,1908,1932,,,,
1172,1832,,1882,1916,1936,,,,
1174,1835,,1893,1918,1942,,,,
1176,1836,,1896,1919,1947,,,,
1177,1837,,1898,1921,1951,,,,
1179,1840,,1899,1926,1959,,,,
1180,1841,,1904,1929,1960,,,,
1182,1843,,1907,1941,1966,,,,
1187,1861,,1911,1954,1971,,,,
1191,1863,,1912,1961,1977,,,,
1225,1869,,1915,1969,2036,,,,
1239,1880,,1920,1978,2039,,,,
1256,1886,,1922,1979,2040,,,,
1303,1888,,1923,2000,2046,,,,
1316,1909,,1924,2002,2049,,,,
1334,1913,,1927,2019,2050,,,,
1355,1914,,1933,2035,2056,,,,
1358,1917,,1944,2052,2064,,,,
1362,1925,,1949,2062,2071,,,,
1386,1953,,1955,2068,2074,,,,
1408,1956,,1958,2079,2075,,,,
1415,1957,,1964,2082,2083,,,,
1416,1962,,1968,2089,2085,,,,
1441,1967,,1970,2094,2090,,,,
1467,1973,,1972,2103,2092,,,,
1482,1974,,1975,2106,2104,,,,
1510,1976,,1982,2113,2111,,,,
1528,1981,,1987,2114,2112,,,,
1529,1997,,2029,2120,2125,,,,
1530,2048,,2045,2123,2126,,,,
1531,2055,,2051,2124,2128,,,,
1532,2063,,2065,2137,2129,,,,
1533,2066,,2069,2145,2133,,,,
1534,2067,,2077,2151,2135,,,,
1547,2072,,2081,2168,2136,,,,
1549,2078,,2084,2172,2138,,,,
1567,2086,,2097,2177,2139,,,,
1568,2087,,2098,2180,2143,,,,
1583,2088,,2099,2181,2148,,,,
1601,2091,,2102,2182,2152,,,,
1602,2095,,2107,2185,2153,,,,
1603,2096,,2108,2193,2154,,,,
1604,2100,,2110,2202,2162,,,,
1605,2105,,2127,2207,2178,,,,
1606,2109,,2134,2208,2192,,,,
1607,2116,,2144,2209,2203,,,,
1608,2117,,2146,2210,2206,,,,
1615,2118,,2147,2215,2222,,,,
1618,2119,,2150,2216,2235,,,,
1620,2121,,2156,2219,2236,,,,
1622,2122,,2157,2220,2247,,,,
1623,2131,,2163,2225,2248,,,,
1624,2132,,2164,2227,2258,,,,
1625,2140,,2165,2229,2264,,,,
1626,2141,,2167,2230,2266,,,,
1627,2149,,2169,2232,2272,,,,
1628,2155,,2179,2233,2299,,,,
1629,2158,,2187,2243,2300,,,,
1631,2159,,2190,2244,2306,,,,
1632,2160,,2191,2251,2310,,,,
1634,2161,,2195,2256,2325,,,,
1635,2166,,2197,2263,2332,,,,
1636,2170,,2198,2268,2334,,,,
1648,2171,,2199,2270,2337,,,,
1649,2173,,2200,2277,2341,,,,
1657,2174,,2204,2280,2353,,,,
1666,2175,,2205,2284,2359,,,,
1750,2176,,2213,2288,2364,,,,
1754,2183,,2214,2290,2367,,,,
1756,2184,,2217,2291,2369,,,,
1762,2186,,2218,2292,2380,,,,
1764,2188,,2228,2294,2382,,,,
1770,2189,,2231,2295,2383,,,,
1825,2194,,2234,2297,2387,,,,
1853,2196,,2238,2301,2389,,,,
1876,2201,,2242,2303,2394,,,,
1891,2212,,2252,2305,2403,,,,
1894,2221,,2254,2308,2405,,,,
1902,2223,,2255,2315,2406,,,,
1903,2224,,2260,2319,2412,,,,
1906,2226,,2261,2320,2418,,,,
1930,2237,,2267,2323,2421,,,,
1931,2239,,2269,2326,2427,,,,
1935,2240,,2271,2329,2428,,,,
1937,2245,,2282,2344,2432,,,,
1938,2246,,2283,2345,2433,,,,
1940,2250,,2285,2351,2435,,,,
1943,2253,,2293,2354,2438,,,,
1945,2259,,2298,2356,2440,,,,
1946,2262,,2302,2358,2458,,,,
1948,2265,,2304,2362,2470,,,,
1950,2273,,2311,2371,2481,,,,
1952,2274,,2312,2375,2488,,,,
1963,2276,,2313,2377,2489,,,,
1965,2278,,2324,2381,2491,,,,
1980,2287,,2328,2385,2495,,,,
2023,2289,,2336,2386,2501,,,,
2026,2296,,2340,2390,2508,,,,
2034,2314,,2347,2391,2529,,,,
2043,2316,,2365,2398,2534,,,,
2044,2321,,2366,2411,2536,,,,
2053,2322,,2368,2414,2537,,,,
2054,2330,,2370,2416,2538,,,,
2057,2331,,2373,2417,2539,,,,
2058,2335,,2378,2419,2542,,,,
2059,2343,,2388,2420,2544,,,,
2060,2346,,2392,2422,2546,,,,
2061,2349,,2397,2447,2547,,,,
2070,2350,,2399,2452,2548,,,,
2073,2352,,2413,2457,2555,,,,
2076,2355,,2424,2466,2562,,,,
2080,2357,,2425,2469,2569,,,,
2101,2360,,2426,2471,2573,,,,
2115,2361,,2430,2476,2581,,,,
2241,2363,,2443,2479,2590,,,,
2249,2372,,2451,2480,2591,,,,
2257,2374,,2455,2493,2597,,,,
2275,2376,,2465,2509,2598,,,,
2279,2379,,2472,2510,2610,,,,
2286,2384,,2473,2513,2628,,,,
2307,2393,,2474,2514,2632,,,,
2317,2395,,2483,2517,2636,,,,
2318,2396,,2492,2519,2648,,,,
2333,2400,,2500,2523,2660,,,,
2338,2401,,2502,2530,2661,,,,
2339,2402,,2503,2545,2663,,,,
2348,2407,,2507,2557,2698,,,,
2404,2408,,2528,2558,2705,,,,
2429,2409,,2540,2559,2723,,,,
2434,2410,,2550,2574,2764,,,,
2437,2415,,2556,2575,2771,,,,
2439,2423,,2561,2583,2774,,,,
2441,2445,,2563,2585,2777,,,,
2442,2446,,2564,2588,2788,,,,
2448,2449,,2565,2589,2789,,,,
2450,2459,,2570,2600,2796,,,,
2453,2468,,2576,2606,2800,,,,
2454,2475,,2578,2607,2813,,,,
2460,2477,,2579,2613,2814,,,,
2461,2478,,2580,2623,2815,,,,
2462,2485,,2582,2626,2816,,,,
2463,2494,,2584,2635,2818,,,,
2464,2511,,2586,2638,2822,,,,
2467,2515,,2587,2643,2824,,,,
2482,2520,,2602,2644,2834,,,,
2486,2522,,2609,2647,2843,,,,
2487,2525,,2611,2652,2849,,,,
2490,2527,,2615,2665,2857,,,,
2496,2533,,2616,2666,2864,,,,
2497,2543,,2619,2667,2885,,,,
2498,2549,,2622,2669,2904,,,,
2504,2552,,2625,2686,2909,,,,
2505,2553,,2627,2689,2915,,,,
2506,2554,,2629,2692,2926,,,,
2512,2560,,2630,2694,2941,,,,
2516,2566,,2631,2710,2944,,,,
2518,2567,,2633,2720,2945,,,,
2521,2568,,2640,2725,2946,,,,
2524,2571,,2641,2726,2949,,,,
2526,2577,,2649,2728,2950,,,,
2531,2592,,2651,2738,2957,,,,
2532,2594,,2658,2739,,,,,
2535,2595,,2664,2745,,,,,
2541,2596,,2685,2754,,,,,
2551,2601,,2691,2755,,,,,
2572,2603,,2696,2759,,,,,
2593,2604,,2697,2760,,,,,
2599,2605,,2706,2781,,,,,
2675,2608,,2709,2785,,,,,
2717,2612,,2713,2786,,,,,
2770,2614,,2714,2797,,,,,
2810,2617,,2716,2805,,,,,
2832,2618,,2718,2811,,,,,
2839,2620,,2721,2820,,,,,
2875,2621,,2724,2826,,,,,
2891,2624,,2727,2827,,,,,
2894,2634,,2729,2828,,,,,
2905,2637,,2736,2835,,,,,
2913,2639,,2737,2836,,,,,
2916,2642,,2742,2837,,,,,
2917,2645,,2743,2840,,,,,
,2646,,2744,2842,,,,,
,2650,,2746,2847,,,,,
,2653,,2747,2850,,,,,
,2654,,2749,2852,,,,,
,2655,,2750,2853,,,,,
,2656,,2756,2858,,,,,
,2657,,2757,2859,,,,,
,2659,,2758,2860,,,,,
,2662,,2762,2861,,,,,
,2668,,2763,2862,,,,,
,2670,,2767,2863,,,,,
,2671,,2790,2872,,,,,
,2672,,2799,2876,,,,,
,2673,,2801,2878,,,,,
,2674,,2804,2886,,,,,
,2676,,2807,2895,,,,,
,2677,,2809,2896,,,,,
,2678,,2825,2898,,,,,
,2679,,2844,2899,,,,,
,2680,,2846,2903,,,,,
,2681,,2848,2910,,,,,
,2682,,2851,2911,,,,,
,2683,,2855,2924,,,,,
,2684,,2856,2928,,,,,
,2687,,2868,2931,,,,,
,2688,,2869,2933,,,,,
,2690,,2871,2934,,,,,
,2693,,2877,2936,,,,,
,2695,,2881,2938,,,,,
,2699,,2884,2940,,,,,
,2700,,2887,2952,,,,,
,2701,,2890,2955,,,,,
,2702,,2892,2961,,,,,
,2703,,2897,,,,,,
,2704,,2900,,,,,,
,2708,,2902,,,,,,
,2711,,2906,,,,,,
,2712,,2907,,,,,,
,2715,,2922,,,,,,
,2719,,2930,,,,,,
,2722,,2932,,,,,,
,2730,,2937,,,,,,
,2731,,2942,,,,,,
,2732,,2943,,,,,,
,2733,,2947,,,,,,
,2734,,2951,,,,,,
,2735,,2954,,,,,,
,2740,,2958,,,,,,
,2741,,2959,,,,,,
,2748,,,,,,,,
,2751,,,,,,,,
,2752,,,,,,,,
,2753,,,,,,,,
,2761,,,,,,,,
,2765,,,,,,,,
,2766,,,,,,,,
,2768,,,,,,,,
,2769,,,,,,,,
,2772,,,,,,,,
,2773,,,,,,,,
,2775,,,,,,,,
,2776,,,,,,,,
,2778,,,,,,,,
,2779,,,,,,,,
,2780,,,,,,,,
,2782,,,,,,,,
,2783,,,,,,,,
,2784,,,,,,,,
,2787,,,,,,,,
,2791,,,,,,,,
,2792,,,,,,,,
,2793,,,,,,,,
,2794,,,,,,,,
,2795,,,,,,,,
,2798,,,,,,,,
,2802,,,,,,,,
,2803,,,,,,,,
,2806,,,,,,,,
,2808,,,,,,,,
,2812,,,,,,,,
,2817,,,,,,,,
,2819,,,,,,,,
,2821,,,,,,,,
,2823,,,,,,,,
,2829,,,,,,,,
,2830,,,,,,,,
,2831,,,,,,,,
,2833,,,,,,,,
,2838,,,,,,,,
,2841,,,,,,,,
,2845,,,,,,,,
,2854,,,,,,,,
,2865,,,,,,,,
,2866,,,,,,,,
,2867,,,,,,,,
,2870,,,,,,,,
,2873,,,,,,,,
,2874,,,,,,,,
,2879,,,,,,,,
,2880,,,,,,,,
,2882,,,,,,,,
,2883,,,,,,,,
,2888,,,,,,,,
,2889,,,,,,,,
,2893,,,,,,,,
,2901,,,,,,,,
,2912,,,,,,,,
,2914,,,,,,,,
,2918,,,,,,,,
,2919,,,,,,,,
,2920,,,,,,,,
,2921,,,,,,,,
,2923,,,,,,,,
,2927,,,,,,,,
,2929,,,,,,,,
,2935,,,,,,,,
,2939,,,,,,,,
,2948,,,,,,,,
,2953,,,,,,,,
,2956,,,,,,,,
,2960,,,,,,,,
