Subset 1,Subset 2,Subset 3,Subset 4,Subset 5,Subset 6,Subset 7,Subset 8,Subset 9,Subset 10
675,373,523,265,289,286,1180,,,
677,375,540,267,294,287,2211,,,
686,377,627,275,305,288,1193,,,
687,381,628,306,308,291,173,,,
689,419,630,307,310,296,1204,,,
694,421,631,309,312,297,1205,,,
704,422,632,360,349,299,1209,,,
710,425,739,364,350,300,2241,,,
715,427,743,365,361,301,2248,,,
716,429,749,366,363,303,1236,,,
726,433,750,372,378,315,215,,,
728,434,752,374,384,316,220,,,
729,437,784,376,386,321,226,,,
735,440,816,379,420,325,2279,,,
738,451,824,380,428,328,1261,,,
744,452,945,382,430,336,2286,,,
746,483,947,383,432,352,239,,,
757,486,948,385,435,356,1262,,,
758,487,984,423,443,367,243,,,
759,493,1016,436,448,369,1267,,,
764,499,1019,438,453,371,246,,,
773,503,1020,439,455,417,1270,,,
777,505,1021,444,497,418,262,,,
778,506,1023,445,525,431,1291,,,
785,512,1026,446,526,442,2318,,,
798,513,1027,449,527,447,271,,,
814,521,1044,454,529,484,272,,,
817,524,1045,494,532,485,274,,,
818,530,1057,495,537,488,2329,,,
835,535,1058,496,538,489,284,,,
838,542,1059,498,557,491,1316,,,
840,543,1093,500,564,492,293,,,
851,558,1106,501,636,507,298,,,
857,559,1111,502,708,508,2348,,,
890,561,1113,504,737,509,304,,,
903,563,1118,514,747,510,317,,,
910,566,1126,522,754,511,319,,,
914,567,1134,528,763,533,320,,,
916,568,1169,536,765,534,324,,,
949,571,1170,539,767,562,330,,,
950,580,1173,541,769,570,333,,,
955,581,1253,569,787,572,337,,,
963,584,1274,623,789,574,1362,,,
968,586,1379,635,799,575,340,,,
973,587,1406,645,800,576,341,,,
974,592,1424,719,808,577,345,,,
977,595,1515,733,812,578,347,,,
980,597,1619,736,815,579,348,,,
981,598,1651,740,820,594,351,,,
982,599,1692,741,822,600,1408,,,
983,602,1694,742,825,612,2433,,,
985,615,1700,748,828,613,2434,,,
990,616,1703,751,843,619,388,,,
991,617,1733,753,844,621,393,,,
992,618,1734,760,846,625,2441,,,
996,620,1735,770,850,626,2442,,,
1003,622,1736,776,853,766,397,,,
1012,624,1738,792,859,768,398,,,
1013,634,1739,793,864,771,402,,,
1014,693,1740,801,867,772,2453,,,
1015,714,1768,802,868,780,2454,,,
1024,781,1786,804,870,783,408,,,
1029,782,1816,806,873,788,412,,,
1030,786,1817,807,893,790,414,,,
1031,794,1819,809,894,795,2463,,,
1032,803,1821,811,896,796,2464,,,
1033,805,1822,819,907,797,1445,,,
1035,823,1824,821,918,810,426,,,
1036,826,1870,831,919,830,1450,,,
1037,829,1885,832,925,833,2482,,,
1039,839,1887,834,928,837,2484,,,
1040,842,1889,862,934,841,2486,,,
1041,848,1890,865,935,845,2487,,,
1043,849,1897,869,939,847,441,,,
1047,852,1900,877,943,854,2490,,,
1048,861,1928,892,958,855,2491,,,
1051,872,1983,898,960,856,2499,,,
1052,874,1984,901,961,858,2501,,,
1055,875,1985,904,965,860,456,,,
1060,879,1986,911,967,863,2505,,,
1062,881,1988,912,969,871,2504,,,
1065,882,1989,915,970,876,459,,,
1066,885,1990,926,989,878,461,,,
1068,891,1991,933,1002,880,462,,,
1070,899,1992,937,1009,883,463,,,
1074,900,1993,938,1022,884,2512,,,
1084,902,1994,940,1034,886,464,,,
1088,906,1995,942,1091,887,465,,,
1090,909,1996,944,1095,888,466,,,
1104,922,1998,946,1102,889,467,,,
1144,923,1999,951,1131,895,468,,,
1155,924,2001,952,1133,897,469,,,
1171,927,2003,953,1138,908,470,,,
1174,929,2004,954,1145,920,471,,,
1176,930,2005,957,1147,932,472,,,
1177,931,2006,959,1151,956,473,,,
1179,941,2009,962,1152,987,474,,,
1182,986,2010,964,1154,998,475,,,
1187,999,2012,966,1158,1011,2518,,,
1191,1005,2014,997,1160,1046,478,,,
1225,1006,2015,1000,1164,1056,479,,,
1239,1007,2017,1001,1166,1109,480,,,
1256,1008,2018,1010,1181,1123,2526,,,
1303,1108,2020,1017,1183,1128,2531,,,
1334,1121,2021,1018,1186,1132,2532,,,
1355,1135,2022,1025,1196,1139,1507,,,
1358,1141,2024,1049,1206,1142,2535,,,
1386,1148,2025,1050,1216,1143,1528,,,
1415,1153,2028,1053,1221,1146,1529,,,
1416,1156,2030,1054,1222,1163,1530,,,
1441,1157,2031,1063,1223,1168,1532,,,
1467,1161,2032,1064,1226,1184,1534,,,
1482,1162,2033,1094,1234,1185,1535,,,
1510,1165,2037,1096,1272,1190,515,,,
1531,1167,2038,1097,1275,1194,1546,,,
1533,1178,2041,1100,1279,1198,1548,,,
1547,1188,2142,1101,1284,1202,2573,,,
1583,1189,2281,1103,1285,1203,1549,,,
1603,1192,2309,1107,1287,1207,1550,,,
1604,1195,2327,1110,1288,1210,1567,,,
1605,1197,2342,1114,1294,1211,1568,,,
1606,1200,2431,1117,1295,1212,545,,,
1607,1208,2436,1130,1296,1214,546,,,
1618,1213,2444,1136,1297,1217,547,,,
1622,1215,2456,1137,1298,1218,548,,,
1624,1220,2707,1150,1299,1241,550,,,
1625,1224,2908,1175,1305,1244,2599,,,
1626,1230,2925,1199,1308,1245,552,,,
1636,1231,,1201,1310,1246,553,,,
1648,1233,,1219,1312,1249,554,,,
1649,1240,,1227,1313,1250,555,,,
1657,1242,,1228,1314,1251,556,,,
1750,1247,,1229,1315,1252,565,,,
1754,1248,,1232,1317,1259,1601,,,
1762,1254,,1235,1318,1263,1602,,,
1764,1255,,1237,1326,1264,1608,,,
1770,1258,,1238,1328,1265,588,,,
1825,1260,,1243,1335,1277,589,,,
1853,1266,,1257,1336,1286,591,,,
1891,1268,,1273,1338,1289,1615,,,
1902,1269,,1276,1341,1292,596,,,
1903,1271,,1280,1343,1306,1620,,,
1906,1278,,1293,1344,1307,1621,,,
1931,1281,,1322,1346,1311,1623,,,
1945,1282,,1337,1353,1321,1627,,,
1952,1283,,1339,1370,1323,1628,,,
1963,1290,,1340,1377,1324,605,,,
1965,1300,,1347,1381,1325,606,,,
1980,1301,,1352,1389,1332,1629,,,
2023,1302,,1359,1391,1345,608,,,
2026,1304,,1367,1392,1350,609,,,
2053,1309,,1369,1393,1354,1630,,,
2057,1319,,1371,1394,1361,1631,,,
2059,1320,,1372,1395,1363,1632,,,
2060,1327,,1390,1396,1364,1634,,,
2061,1329,,1397,1398,1366,1635,,,
2073,1330,,1400,1401,1368,2675,,,
2115,1331,,1413,1405,1373,629,,,
2249,1333,,1422,1410,1374,633,,,
2257,1342,,1425,1411,1375,637,,,
2275,1348,,1439,1421,1380,638,,,
2307,1349,,1443,1428,1383,639,,,
2317,1351,,1449,1430,1384,640,,,
2333,1356,,1455,1431,1385,642,,,
2338,1357,,1459,1437,1387,643,,,
2339,1360,,1464,1438,1388,644,,,
2404,1365,,1470,1440,1403,1666,,,
2429,1376,,1472,1442,1409,646,,,
2437,1378,,1475,1452,1412,647,,,
2439,1382,,1490,1453,1414,648,,,
2448,1399,,1492,1454,1420,649,,,
2450,1402,,1495,1457,1426,650,,,
2460,1404,,1504,1458,1427,651,,,
2461,1407,,1505,1460,1433,652,,,
2462,1417,,1512,1463,1434,653,,,
2467,1418,,1514,1468,1435,654,,,
2496,1419,,1522,1474,1446,655,,,
2497,1423,,1524,1481,1451,656,,,
2498,1429,,1542,1484,1465,657,,,
2506,1432,,1557,1487,1473,658,,,
2516,1436,,1564,1497,1477,659,,,
2521,1444,,1565,1498,1478,660,,,
2524,1447,,1566,1499,1486,661,,,
2541,1448,,1578,1500,1488,662,,,
2551,1456,,1580,1501,1493,663,,,
2572,1461,,1585,1502,1496,664,,,
2593,1462,,1587,1508,1506,665,,,
2770,1466,,1588,1511,1539,666,,,
2810,1469,,1591,1516,1545,667,,,
2832,1471,,1595,1518,1571,668,,,
2839,1476,,1598,1519,1573,669,,,
2894,1479,,1599,1520,1574,670,,,
2913,1480,,1611,1521,1597,671,,,
2917,1483,,1613,1523,1637,672,,,
,1485,,1614,1525,1644,673,,,
,1489,,1617,1526,1645,674,,,
,1491,,1641,1527,1646,2717,,,
,1494,,1647,1537,1650,676,,,
,1503,,1652,1538,1656,678,,,
,1509,,1653,1540,1664,679,,,
,1513,,1659,1543,1669,680,,,
,1517,,1662,1551,1675,681,,,
,1536,,1665,1553,1680,682,,,
,1541,,1668,1554,1682,683,,,
,1544,,1670,1556,1684,684,,,
,1552,,1671,1559,1685,685,,,
,1555,,1673,1562,1693,688,,,
,1558,,1676,1563,1697,690,,,
,1560,,1681,1569,1705,691,,,
,1561,,1683,1570,1706,692,,,
,1572,,1686,1576,1707,695,,,
,1575,,1687,1577,1712,696,,,
,1579,,1688,1582,1713,697,,,
,1581,,1690,1584,1721,698,,,
,1586,,1698,1589,1722,699,,,
,1590,,1704,1592,1724,700,,,
,1593,,1708,1594,1725,701,,,
,1596,,1716,1600,1731,702,,,
,1609,,1717,1612,1732,703,,,
,1610,,1718,1616,1744,1723,,,
,1639,,1728,1633,1752,705,,,
,1643,,1742,1638,1753,706,,,
,1655,,1746,1640,1757,707,,,
,1658,,1748,1642,1759,709,,,
,1661,,1760,1654,1763,711,,,
,1672,,1761,1660,1771,712,,,
,1674,,1765,1663,1793,713,,,
,1677,,1769,1667,1797,1737,,,
,1679,,1774,1678,1798,717,,,
,1695,,1779,1689,1800,718,,,
,1699,,1781,1691,1804,720,,,
,1701,,1785,1696,1805,721,,,
,1710,,1788,1702,1807,722,,,
,1711,,1792,1709,1813,723,,,
,1714,,1801,1726,1814,724,,,
,1715,,1806,1741,1828,725,,,
,1719,,1808,1747,1834,727,,,
,1720,,1809,1749,1842,730,,,
,1727,,1810,1751,1844,731,,,
,1729,,1812,1766,1845,732,,,
,1730,,1815,1776,1847,1756,,,
,1743,,1823,1778,1850,734,,,
,1745,,1826,1780,1854,745,,,
,1755,,1827,1782,1855,755,,,
,1758,,1830,1787,1857,756,,,
,1767,,1838,1789,1862,761,,,
,1772,,1846,1790,1866,762,,,
,1773,,1849,1791,1867,774,,,
,1775,,1851,1802,1879,775,,,
,1777,,1852,1803,1901,779,,,
,1783,,1856,1833,1910,791,,,
,1784,,1858,1839,1932,1820,,,
,1794,,1864,1859,1936,813,,,
,1795,,1865,1860,1942,1848,,,
,1796,,1871,1868,1947,827,,,
,1799,,1872,1881,1951,2875,,,
,1811,,1873,1883,1959,836,,,
,1818,,1877,1884,1960,2891,,,
,1829,,1882,1892,1966,1874,,,
,1831,,1893,1895,1971,1875,,,
,1832,,1896,1905,1977,1876,,,
,1835,,1898,1908,2036,1878,,,
,1836,,1899,1916,2039,2905,,,
,1837,,1904,1918,2040,866,,,
,1840,,1907,1919,2046,2916,,,
,1841,,1911,1921,2049,1894,,,
,1843,,1912,1926,2050,905,,,
,1861,,1915,1929,2056,1930,,,
,1863,,1920,1941,2064,1934,,,
,1869,,1922,1954,2071,1935,,,
,1880,,1923,1961,2074,913,,,
,1886,,1924,1969,2075,1937,,,
,1888,,1927,1978,2083,1938,,,
,1909,,1933,1979,2085,1939,,,
,1913,,1944,2000,2090,917,,,
,1914,,1949,2002,2092,1940,,,
,1917,,1955,2019,2104,1943,,,
,1925,,1958,2035,2111,921,,,
,1953,,1964,2052,2112,1946,,,
,1956,,1968,2062,2125,1948,,,
,1957,,1970,2068,2126,1950,,,
,1962,,1972,2079,2128,936,,,
,1967,,1975,2082,2129,971,,,
,1973,,1982,2089,2133,972,,,
,1974,,1987,2094,2135,975,,,
,1976,,2029,2103,2136,976,,,
,1981,,2045,2106,2138,978,,,
,1997,,2051,2113,2139,979,,,
,2048,,2065,2114,2143,2007,,,
,2055,,2069,2120,2148,2008,,,
,2063,,2077,2123,2152,2011,,,
,2066,,2081,2124,2153,988,,,
,2067,,2084,2137,2154,2013,,,
,2072,,2097,2145,2162,2016,,,
,2078,,2098,2151,2178,993,,,
,2086,,2099,2168,2192,994,,,
,2087,,2102,2172,2203,995,,,
,2088,,2107,2177,2206,2027,,,
,2091,,2108,2180,2222,1004,,,
,2095,,2110,2181,2235,2034,,,
,2096,,2127,2182,2236,2042,,,
,2100,,2134,2185,2247,2043,,,
,2105,,2144,2193,2258,2044,,,
,2109,,2146,2202,2264,2047,,,
,2116,,2147,2207,2266,,,,
,2117,,2150,2208,2272,,,,
,2118,,2156,2209,2299,,,,
,2119,,2157,2210,2300,,,,
,2121,,2163,2215,2306,,,,
,2122,,2164,2216,2310,,,,
,2131,,2165,2219,2325,,,,
,2132,,2167,2220,2332,,,,
,2140,,2169,2225,2334,,,,
,2141,,2179,2227,2337,,,,
,2149,,2187,2229,2341,,,,
,2155,,2190,2230,2353,,,,
,2158,,2191,2232,2359,,,,
,2159,,2195,2233,2364,,,,
,2160,,2197,2243,2367,,,,
,2161,,2198,2244,2369,,,,
,2166,,2199,2251,2380,,,,
,2170,,2200,2256,2382,,,,
,2171,,2204,2263,2383,,,,
,2173,,2205,2268,2387,,,,
,2174,,2213,2270,2389,,,,
,2175,,2214,2277,2394,,,,
,2176,,2217,2280,2403,,,,
,2183,,2218,2284,2405,,,,
,2184,,2228,2288,2406,,,,
,2186,,2231,2290,2412,,,,
,2188,,2234,2291,2418,,,,
,2189,,2238,2292,2421,,,,
,2194,,2242,2294,2427,,,,
,2196,,2252,2295,2428,,,,
,2201,,2254,2297,2432,,,,
,2212,,2255,2301,2435,,,,
,2221,,2260,2303,2438,,,,
,2223,,2261,2305,2440,,,,
,2224,,2267,2308,2458,,,,
,2226,,2269,2315,2470,,,,
,2237,,2271,2319,2481,,,,
,2239,,2282,2320,2488,,,,
,2240,,2283,2323,2489,,,,
,2245,,2285,2326,2495,,,,
,2246,,2293,2344,2508,,,,
,2250,,2298,2345,2529,,,,
,2253,,2302,2351,2534,,,,
,2259,,2304,2354,2536,,,,
,2262,,2311,2356,2537,,,,
,2265,,2312,2358,2538,,,,
,2273,,2313,2362,2539,,,,
,2274,,2324,2371,2542,,,,
,2276,,2328,2375,2544,,,,
,2278,,2336,2377,2546,,,,
,2287,,2340,2381,2547,,,,
,2289,,2347,2385,2548,,,,
,2296,,2365,2386,2555,,,,
,2314,,2366,2390,2562,,,,
,2316,,2368,2391,2569,,,,
,2321,,2370,2398,2581,,,,
,2322,,2373,2411,2590,,,,
,2330,,2378,2414,2591,,,,
,2331,,2388,2416,2597,,,,
,2335,,2392,2417,2598,,,,
,2343,,2397,2419,2610,,,,
,2346,,2399,2420,2628,,,,
,2349,,2413,2422,2632,,,,
,2350,,2424,2447,2636,,,,
,2352,,2425,2452,2648,,,,
,2355,,2426,2457,2660,,,,
,2357,,2430,2466,2661,,,,
,2360,,2443,2469,2663,,,,
,2361,,2451,2471,2698,,,,
,2363,,2455,2476,2705,,,,
,2372,,2465,2479,2723,,,,
,2374,,2472,2480,2764,,,,
,2376,,2473,2493,2771,,,,
,2379,,2474,2509,2774,,,,
,2384,,2483,2510,2777,,,,
,2393,,2492,2513,2788,,,,
,2395,,2500,2514,2789,,,,
,2396,,2502,2517,2796,,,,
,2400,,2503,2519,2800,,,,
,2401,,2507,2523,2813,,,,
,2402,,2528,2530,2814,,,,
,2407,,2540,2545,2815,,,,
,2408,,2550,2557,2816,,,,
,2409,,2556,2558,2818,,,,
,2410,,2561,2559,2822,,,,
,2415,,2563,2574,2824,,,,
,2423,,2564,2575,2834,,,,
,2445,,2565,2583,2843,,,,
,2446,,2570,2585,2849,,,,
,2449,,2576,2588,2857,,,,
,2459,,2578,2589,2864,,,,
,2468,,2579,2600,2885,,,,
,2475,,2580,2606,2904,,,,
,2477,,2582,2607,2909,,,,
,2478,,2584,2613,2915,,,,
,2485,,2586,2623,2926,,,,
,2494,,2587,2626,2941,,,,
,2511,,2602,2635,2944,,,,
,2515,,2609,2638,2945,,,,
,2520,,2611,2643,2946,,,,
,2522,,2615,2644,2949,,,,
,2525,,2616,2647,2950,,,,
,2527,,2619,2652,2957,,,,
,2533,,2622,2665,,,,,
,2543,,2625,2666,,,,,
,2549,,2627,2667,,,,,
,2552,,2629,2669,,,,,
,2553,,2630,2686,,,,,
,2554,,2631,2689,,,,,
,2560,,2633,2692,,,,,
,2566,,2640,2694,,,,,
,2567,,2641,2710,,,,,
,2568,,2649,2720,,,,,
,2571,,2651,2725,,,,,
,2577,,2658,2726,,,,,
,2592,,2664,2728,,,,,
,2594,,2685,2738,,,,,
,2595,,2691,2739,,,,,
,2596,,2696,2745,,,,,
,2601,,2697,2754,,,,,
,2603,,2706,2755,,,,,
,2604,,2709,2759,,,,,
,2605,,2713,2760,,,,,
,2608,,2714,2781,,,,,
,2612,,2716,2785,,,,,
,2614,,2718,2786,,,,,
,2617,,2721,2797,,,,,
,2618,,2724,2805,,,,,
,2620,,2727,2811,,,,,
,2621,,2729,2820,,,,,
,2624,,2736,2826,,,,,
,2634,,2737,2827,,,,,
,2637,,2742,2828,,,,,
,2639,,2743,2835,,,,,
,2642,,2744,2836,,,,,
,2645,,2746,2837,,,,,
,2646,,2747,2840,,,,,
,2650,,2749,2842,,,,,
,2653,,2750,2847,,,,,
,2654,,2756,2850,,,,,
,2655,,2757,2852,,,,,
,2656,,2758,2853,,,,,
,2657,,2762,2858,,,,,
,2659,,2763,2859,,,,,
,2662,,2767,2860,,,,,
,2668,,2790,2861,,,,,
,2670,,2799,2862,,,,,
,2671,,2801,2863,,,,,
,2672,,2804,2872,,,,,
,2673,,2807,2876,,,,,
,2674,,2809,2878,,,,,
,2676,,2825,2886,,,,,
,2677,,2844,2895,,,,,
,2678,,2846,2896,,,,,
,2679,,2848,2898,,,,,
,2680,,2851,2899,,,,,
,2681,,2855,2903,,,,,
,2682,,2856,2910,,,,,
,2683,,2868,2911,,,,,
,2684,,2869,2924,,,,,
,2687,,2871,2928,,,,,
,2688,,2877,2931,,,,,
,2690,,2881,2933,,,,,
,2693,,2884,2934,,,,,
,2695,,2887,2936,,,,,
,2699,,2890,2938,,,,,
,2700,,2892,2940,,,,,
,2701,,2897,2952,,,,,
,2702,,2900,2955,,,,,
,2703,,2902,2961,,,,,
,2704,,2906,,,,,,
,2708,,2907,,,,,,
,2711,,2922,,,,,,
,2712,,2930,,,,,,
,2715,,2932,,,,,,
,2719,,2937,,,,,,
,2722,,2942,,,,,,
,2730,,2943,,,,,,
,2731,,2947,,,,,,
,2732,,2951,,,,,,
,2733,,2954,,,,,,
,2734,,2958,,,,,,
,2735,,2959,,,,,,
,2740,,,,,,,,
,2741,,,,,,,,
,2748,,,,,,,,
,2751,,,,,,,,
,2752,,,,,,,,
,2753,,,,,,,,
,2761,,,,,,,,
,2765,,,,,,,,
,2766,,,,,,,,
,2768,,,,,,,,
,2769,,,,,,,,
,2772,,,,,,,,
,2773,,,,,,,,
,2775,,,,,,,,
,2776,,,,,,,,
,2778,,,,,,,,
,2779,,,,,,,,
,2780,,,,,,,,
,2782,,,,,,,,
,2783,,,,,,,,
,2784,,,,,,,,
,2787,,,,,,,,
,2791,,,,,,,,
,2792,,,,,,,,
,2793,,,,,,,,
,2794,,,,,,,,
,2795,,,,,,,,
,2798,,,,,,,,
,2802,,,,,,,,
,2803,,,,,,,,
,2806,,,,,,,,
,2808,,,,,,,,
,2812,,,,,,,,
,2817,,,,,,,,
,2819,,,,,,,,
,2821,,,,,,,,
,2823,,,,,,,,
,2829,,,,,,,,
,2830,,,,,,,,
,2831,,,,,,,,
,2833,,,,,,,,
,2838,,,,,,,,
,2841,,,,,,,,
,2845,,,,,,,,
,2854,,,,,,,,
,2865,,,,,,,,
,2866,,,,,,,,
,2867,,,,,,,,
,2870,,,,,,,,
,2873,,,,,,,,
,2874,,,,,,,,
,2879,,,,,,,,
,2880,,,,,,,,
,2882,,,,,,,,
,2883,,,,,,,,
,2888,,,,,,,,
,2889,,,,,,,,
,2893,,,,,,,,
,2901,,,,,,,,
,2912,,,,,,,,
,2914,,,,,,,,
,2918,,,,,,,,
,2919,,,,,,,,
,2920,,,,,,,,
,2921,,,,,,,,
,2923,,,,,,,,
,2927,,,,,,,,
,2929,,,,,,,,
,2935,,,,,,,,
,2939,,,,,,,,
,2948,,,,,,,,
,2953,,,,,,,,
,2956,,,,,,,,
,2960,,,,,,,,
